m1_primary_social_style,m1_secondary_social_style,m1_social_style_flexibility_rate,m2_primary_social_style,m2_secondary_social_style,m2_social_style_flexibility_rate,challenge_duration,project_hard_features,project_medium_features,project_easy_features,fullfilled_requirements
2,1,2,2,4,2,12,2,3,7,0
1,2,2,1,2,3,26,1,4,6,0
1,2,2,4,1,4,12,0,1,3,0
4,3,3,2,1,2,26,2,5,5,1
4,1,3,3,1,3,12,1,3,4,1
4,3,3,1,2,3,12,2,3,5,1
2,1,3,4,2,4,12,0,1,6,1
2,4,3,2,1,4,12,1,1,3,0
1,2,3,4,2,4,12,3,3,4,1
2,1,3,1,2,4,26,2,4,3,0
2,1,3,2,1,4,26,2,7,7,0
1,2,3,1,2,4,26,6,6,7,1
1,2,3,4,1,5,12,0,2,4,1
2,4,3,2,1,5,26,1,5,6,0
3,1,3,1,3,5,26,3,5,4,0
1,2,4,2,4,1,12,1,2,6,1
1,2,4,2,4,1,26,1,5,6,0
4,2,4,1,2,3,12,0,3,5,1
1,3,4,2,1,3,12,1,1,2,0
1,2,4,1,2,3,12,2,1,5,1
3,4,4,3,4,3,12,2,2,5,1
4,1,4,1,2,3,26,1,3,5,0
3,4,4,2,4,3,26,1,5,7,1
1,2,4,1,2,3,26,4,4,7,0
1,2,4,2,1,4,12,1,4,4,0
4,2,4,1,2,4,12,3,2,5,1
1,2,4,4,2,4,26,0,3,7,0
1,3,4,4,2,4,26,2,4,6,0
4,2,4,2,1,4,26,2,5,7,0
1,2,4,2,1,5,12,2,2,5,0
2,1,4,3,4,5,26,0,5,7,0
4,2,4,2,1,5,26,3,7,6,1
4,1,5,2,4,2,26,3,6,6,0
1,4,5,1,2,3,26,1,5,7,0
2,1,5,3,4,3,26,3,6,7,0
2,1,5,2,1,4,12,0,2,5,1
3,4,5,1,3,5,12,0,2,4,1
1,4,5,2,1,5,12,0,3,5,1
